ConstCode,PageLink
1011,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=taplejung
1021,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sankhuwasabha1
1031,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=solukhumbu1
1041,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=okhaldhunga1
1051,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=khotang1
1061,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=bhojpur1
1071,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dhankuta1
1081,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=terathum1
1091,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=panchthar1
1101,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=illam1
1102,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=illam2
1111,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=jhapa1
1112,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=jhapa2
1113,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=jhapa3
1114,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=jhapa4
1115,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=jhapa5
1121,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=morang1
1122,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=morang2
1123,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=morang3
1124,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=morang4
1125,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=morang5
1126,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=morang6
1131,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sunsari1
1132,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sunsari2
1133,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sunsari3
1134,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sunsari4
1141,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=udayaur1
1142,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=udayaur2
2011,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=saptari1
2012,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=saptari2
2013,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=spatari3
2014,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=saptari4
2021,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=siraha1
2022,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=siraha2
2023,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=siraha3
2024,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=siraha4
2031,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dhanusha1
2032,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dhanusha2
2033,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dhanusha3
2034,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dhanusha4
2041,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=mahottari1
2042,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=mahottari2
2043,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=mahottari3
2044,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=mahottari4
2051,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sarlahi1
2052,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sarlahi2
2053,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sarlahi3
2054,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sarlahi4
2061,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rautahat1
2062,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rautahat2
2063,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rautahat3
2064,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rautahat4
2071,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=bara1
2072,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=bara2
2073,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=bara3
2074,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=bara4
2081,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=parsa1
2082,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=parsa2
2083,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=parsa3
2084,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=parsa4
3011,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dolkha1
3021,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sindhupalchowk1
3022,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=sindhupalchowk2
3031,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=rasuwa1
3041,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dhading1
3042,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=dhading2
3051,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=nuwakot1
3052,https://election.onlinekhabar.com/central-chetra/?chetra_map_id=nuwakot2
3061,https://election.onlinekhabar.com/central-chetra/?chetra_id=87
3062,https://election.onlinekhabar.com/central-chetra/?chetra_id=88
3063,https://election.onlinekhabar.com/central-chetra/?chetra_id=89
