StateID,Dcode,ConstCode,Constituency,1stCandidate,1stGender,1stAge,1stAgeBracket,1stPartyID,1stPhoto,1stTotalVoteReceived,2ndCandidate,2ndGender,2ndAge,2ndAgeBracket,2ndPartyID,2ndTotalVoteReceived,2ndPhoto,3rdCandidate,3rdGender,3rdAge,3rdAgeBracket,3rdPartyID,3rdTotalVoteReceived,3rdPhoto
1,101,1011,ताप्लेजुंग-1,योगेश कुमार भट्टराई,M,56,41-60,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Yogesh-Bhattarai-1.jpg,21943,खेल प्रसाद बुडाक्षेत्री,M,46,41-60,3,21735,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/khel-bahadue-buda-kshetri.jpg,होम प्रसाद तुम्बाहाम्फे,M,56,41-60,37,941,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Hom-Prasad.jpg
1,102,1021,संखुवासभा-1,दिपक खड्का,M,51,41-60,2,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Deepak-Khadka-1.jpg,32161,राजेन्द्र प्रसाद गौत्तम,M,59,41-60,1,26721,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Rajendra-Gautam-1.jpg,भक्त नारायण श्रेष्ठ,M,55,41-60,93,1136,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/bhakta-naryan-shrestha-_.jpg
1,103,1031,सोलुखुम्बु-1,मानबीर राई,M,52,41-60,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Manbir-Rai-1.jpg,19324,बल बहादुर के.सी,M,69,60+,2,16545,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/bal-bahadur-kc-1.jpg,लाक्पा शेर्पा,M,40,21-40,41,901,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/lakpa-sherpa-_.jpg
1,104,1041,ओखलढुंगा-1,राम हरि खतिवडा,M,52,41-60,2,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/ramhari-khatiwoda-1.jpg,33556,यज्ञ राज सुनुवार,M,50,41-60,1,26738,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/yagyaraj-sunuwr.jpg,जुद्ध बहादुर राई,M,50,41-60,41,897,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Juddha-Dhakre.jpg
1,105,1051,खोटाङ्ग-1,राम कुमार राई,M,54,41-60,3,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/ram-kumar-rai-_.jpg,31351,विशाल भट्टराई,M,53,41-60,1,28682,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Bishal-Bhattrai-1.jpg,कृष्ण कुमार राई,M,67,60+,41,1914,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Krishna-Kumar-Rai-__.jpg
1,106,1061,भोजपुर-1,सुदन किराती,M,43,41-60,3,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/sudan-kirati.jpg,28591,शेरधन राई,M,51,41-60,1,26202,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/sherdhan-rai.jpg,डा.सुरेश बस्नेत,M,45,41-60,56,1087,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
1,107,1071,धनकुटा-1,राजेन्द्र कुमार राई,M,56,41-60,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Rajendra-Kumar-Rai.jpg,30101,सुनील बहादुर थापा,M,63,60+,2,28704,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Sunil-Thapa-1.jpg,हेमराज भण्डारी,M,46,41-60,13,5926,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Hemraj-Bhandari.jpg
1,108,1081,तेर्हथुम-1,सिता गुरुङ्ग,F,46,41-60,2,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Sita-Gurung.jpg,19707,बिजय सुब्बा,M,64,60+,1,18631,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Bijay-Subba.jpg,विष्णु कुमार चोङवाङ,M,31,21-40,37,725,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Bishnu-Kumar-Chengwang.jpg
1,109,1091,पाँचथर-1,वसन्त कुमार नेम्वाङ्ग,M,60,41-60,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/basanta-nemwang.jpg,32135,भीष्म राज आङदेम्वे,M,57,41-60,2,32089,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/bhisma-raja-angdembe-1.jpg,कमल वहादुर चेम्जोङ,M,60,41-60,4,1578,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Kamal-Chemjong-_.jpg
1,110,1101,इलाम-1,महेश बस्नेत,M,62,60+,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/mahes-basnet-ilam.jpg,25753,झलनाथ खनाल,M,72,60+,38,23089,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Jhalanath-khanal.jpg,बुद्ध लाल मेचे,M,52,41-60,42,2442,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/buddhalal-meche-_.jpg
1,110,1102,इलाम-2,सुवास चन्द्र नेम्वाङ्ग,M,69,60+,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Subash-nemwang.jpg,30020,डम्बर बहादुर खड्का,M,47,41-60,2,29906,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Dambar-khadka.jpg,प्रकाश सापकोटा,M,30,21-40,93,1380,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Prakash-Sapkota.jpeg
1,111,1111,झापा-1,विश्व प्रकाश शर्मा,M,52,41-60,2,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/bishwo-prakash-sharma-1.jpg,39624,अग्नि प्रसाद खरेल,M,61,60+,1,25349,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Agni-Kharel-2.jpg,ओमनाथ भण्डारी,M,40,21-40,93,8564,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Omnath-Bhandari.jpg
1,111,1112,झापा-2,देव राज घिमिरे,M,66,60+,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Devraj-ghimire.jpg,28716,भद्र प्रसाद नेपाल,M,46,41-60,13,26455,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Swagat-nepal.jpg,हरि कुमार राना मगर,M,63,60+,3,13930,https://election.onlinekhabar.com/wp-content/uploads/2022/11/hari-kumar-rana.jpg
1,111,1113,झापा-3,राजेन्द्र प्रसाद लिङ्देन,M,57,41-60,4,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Rajendra-lingden-1.jpg,40662,कृष्ण प्रसाद सिटौला,M,72,60+,2,37386,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Krishna-Prasad-Sitaula-1.jpg,प्रकाश पाठक,M,34,21-40,93,3461,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/prakash-pathak.jpg
1,111,1114,झापा-4,लाल प्रसाद साँवा लिम्बू,M,55,41-60,1,https://election.onlinekhabar.com/wp-content/uploads/2022/11/lp-sawa-4.jpg,29315,देउ कुमार थेवे,M,57,41-60,2,22448,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/dauman-thebe.jpg,शम्भु प्रसाद ढकाल,M,46,41-60,93,14069,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Shambhu-Dhakal.jpg
1,111,1115,झापा-5,के.पी शर्मा ओली,M,70,60+,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/KP-OLI.jpg,52319,खगेन्द्र अधिकारी,M,48,41-60,2,23743,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Khagendra-adhakari-jhapa.jpg,शुरेस कुमार पोखरेल,M,49,41-60,93,11759,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
1,112,1121,मोरङ्ग-1,डिग बहादुर लिम्वु,M,59,41-60,2,https://election.onlinekhabar.com/wp-content/uploads/2022/11/dig-bahadur-limbu.jpg,27297,घनश्याम खतीवडा,M,60,41-60,1,26867,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/ghanashyam-khatiwada.jpg,कमल बहादुर श्रेष्ठ,M,36,21-40,93,8063,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/kamal-Shrestha.jpg
1,112,1122,मोरङ्ग-2,ऋषिकेश पोखरेल,M,54,41-60,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/rishikesh.jpg,33148,सुजाता कोइराला,F,68,60+,2,31940,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Sujata-Koirala-1.jpg,ठगेन्द्र प्रसाद न्यौपाने,M,34,21-40,93,4987,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/thagendra-naupane.jpg
1,112,1123,मोरङ्ग-3,शुनिल कुमार शर्मा,M,44,41-60,2,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/sunil-sharma_.jpg,48631,भानु भक्त ढकाल,M,60,41-60,1,25895,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/bhanubhakta-dhakal-1.jpg,रेखा थापा,F,41,41-60,4,10998,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/rekha-thapa.jpg
1,112,1124,मोरङ्ग-4,अमन लाल मोदी,M,37,21-40,3,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/amanlal.jpg,30612,विनोद प्रसाद ढकाल,M,54,41-60,1,24463,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/binod-dhakal.jpg,रवि रिजाल,M,50,41-60,4,7468,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
1,112,1125,मोरङ्ग-5,योगेन्द्र मण्डल,M,51,41-60,13,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/yoggendra-mandal.jpg,21820,शिव कुमार मंडल (केवट),M,47,41-60,3,17486,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/shivkumar-mandal.jpg,राज कुमार यादव,M,50,41-60,41,17390,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/rajkumar-yadav.jpg
1,112,1126,मोरङ्ग-6,डा शेखर कोइराला,M,72,60+,2,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/sekhar.jpg,35224,लाल बाबु पंण्डित,M,63,60+,1,22946,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/lalbabi.jpg,यादव कुमार प्रधान,M,42,41-60,93,9140,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/yadav-kumar-pradhan..jpg
1,113,1131,सुनसरी-1,अशोक कुमार राई,M,65,60+,41,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Ashok-Rai-1.jpg,17059,गोमा तामाङ,F,48,41-60,93,16606,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Goma-Tamang.jpg,मुक्‍सामहाङ्ग सुब्‍बा,M,40,21-40,3,13087,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Muksahang.jpg
1,113,1132,सुनसरी-2,भीम प्रसाद आचार्य,M,63,60+,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Bhim-Acharya.jpg,32024,सिताराम महतो,M,67,60+,2,26068,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Sitaram-Mehta.jpg,लाल बिक्रम थापा,M,36,21-40,93,19391,https://election.onlinekhabar.com/wp-content/themes/election-2079/assets/img/user-avatar.jpg
1,113,1133,सुनसरी-3,भगवती चौधरी,F,51,41-60,1,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Bhagwati-Chaudhary.jpg,40788,विजय कुमार गच्‍छदार,M,68,60+,2,35600,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Bijay-Bhakta-Shrestha.jpg,कमल बाबु मैनाली,M,50,41-60,93,6453,https://election-2079.onlinekhabar.com/wp-content/uploads/2022/11/Kamal-Babu-Mainali.jpg
