LCode,Municipal_id
10105,317
10101,326
10106,315
10102,328
10103,330
10104,334
10107,336
10109,320
10108,339
10906,353
10907,358
10903,345
10905,349
10904,342
10908,356
10901,362
10902,351
11003,470
11007,484
11004,472
11005,481
11008,475
11001,486
11006,491
11010,493
11002,495
11009,478
11103,314
11115,340
11104,311
11106,323
11108,318
11109,325
11110,331
11107,309
11111,329
11102,333
11114,312
11101,307
11112,321
11105,316
11113,337
10206,416
10204,430
10208,412
10210,414
10207,422
10201,427
10202,432
10209,419
10205,434
10203,437
10801,400
10806,403
10802,405
10803,408
10804,393
10805,396
10605,454
10609,463
10603,449
10606,457
10604,442
10607,452
10601,445
10602,460
10608,467
10705,382
10707,389
10703,386
10704,373
10702,369
10701,375
10706,378
11208,368
11215,390
11206,387
11203,392
11212,381
11217,383
11216,377
11207,354
11213,374
11205,347
11201,395
11211,360
11209,363
11202,350
11214,343
11210,365
11204,370
11306,399
11309,404
11303,421
11308,423
11307,406
11311,417
11301,401
11302,413
11312,426
11304,428
11305,410
11310,433
10301,479
10304,476
10305,482
10306,485
10302,487
10308,490
10303,492
10307,474
10502,441
10501,453
10508,450
10509,447
10507,456
10510,464
10505,438
10503,444
10506,461
10504,436
10404,499
10406,502
10401,504
10408,507
10403,510
10405,518
10402,498
10407,521
11408,535
11407,523
11402,526
11406,537
11403,528
11404,538
11401,531
11405,540
20103,712
20102,693
20106,700
20118,714
20110,695
20115,719
20117,720
20111,722
20109,698
20114,717
20113,691
20104,721
20108,724
20112,723
20105,696
20101,708
20107,703
20116,705
20209,737
20216,740
20206,731
20203,726
20202,732
20207,739
20214,735
20215,734
20213,741
20204,727
20211,736
20201,725
20208,738
20212,733
20217,728
20210,730
20205,729
20314,751
20311,747
20305,758
20301,761
20312,748
20315,755
20302,759
20316,754
20317,752
20304,763
20303,762
20307,756
20318,753
20306,757
20313,749
20310,746
20309,760
20308,750
20402,777
20415,768
20413,770
20412,772
20409,775
20403,776
20411,773
20404,778
20401,764
20407,767
20405,765
20414,769
20410,771
20408,774
20406,766
20506,666
20510,688
20504,670
20503,743
20520,673
20501,742
20502,676
20511,672
20519,681
20517,674
20512,745
20514,684
20508,682
20516,677
20513,686
20509,683
20515,687
20518,680
20505,668
20507,671
20608,663
20601,779
20618,652
20604,665
20606,658
20602,659
20617,643
20615,646
20609,780
20612,654
20603,661
20611,655
20607,660
20610,656
20614,649
20616,647
20613,651
20605,657
20711,678
20709,653
20708,662
20702,692
20703,690
20715,642
20701,694
20710,675
20714,664
20712,667
20716,641
20713,669
20704,650
20705,648
20707,644
20706,645
20812,709
20803,710
20811,707
20813,715
20814,718
20805,713
20810,716
20802,706
20801,704
20804,711
20806,702
20809,699
20808,701
20807,697
30103,191
