lcode,municipality
10105,आठराई त्रिवेणी गाउँपालिका
10101,फक्ताङलुङ गाउँपालिका
10106,फुङलिङ नगरपालिका
10102,मिक्वाखोला गाउँपालिका
10103,मेरिङदेन गाउँपालिका
10104,मैवाखोला गाउँपालिका
10107,पाथीभरा याङवरक गाउँपालिका
10109,सिदिङ्वा गाउँपालिका
10108,सिरीजङ्घा गाउँपालिका
10906,कुम्मायक गाउँपालिका
10907,तुम्वेवा गाउँपालिका
10903,फालेलुङ गाउँपालिका
10905,फाल्गुनन्द गाउँपालिका
10904,फिदिम नगरपालिका
10908,मिक्लाजुङ गाउँपालिका
10901,याङवरक गाउँपालिका
10902,हिलिहाङ गाउँपालिका
11003,इलाम नगरपालिका
11007,चुलाचुली गाउँपालिका
11004,देउमाई नगरपालिका
11005,फाकफोकथुम गाउँपालिका
11008,माई नगरपालिका
11001,माईजोगमाई गाउँपालिका
11006,माङसेबुङ गाउँपालिका
11010,रोङ गाउँपालिका
11002,सन्दकपुर गाउँपालिका
11009,सूर्योदय नगरपालिका
11103,अर्जुनधारा नगरपालिका
11115,कचनकवल गाउँपालिका
11104,कन्काई नगरपालिका
11106,कमल गाउँपालिका
11108,गौरादह नगरपालिका
11109,गौरीगंज गाउँपालिका
11110,झापा गाउँपालिका
11107,दमक नगरपालिका
11111,बाह्रदशी गाउँपालिका
11102,बुद्धशान्ति गाउँपालिका
11114,भद्रपुर नगरपालिका
11101,मेची नगर नगरपालिका
11112,विर्तामोड नगरपालिका
11105,शिवसताक्षि नगरपालिका
11113,हल्दीवारी गाउँपालिका
10206,खाँदवारी नगरपालिका
10204,चिचिला गाउँपालिका
10208,चैनपुर नगरपालिका
10210,धर्मदेवी नगरपालिका
10207,पाँचखपन नगरपालिका
10201,भोटखोला गाउँपालिका
10202,मकालु गाउँपालिका
10209,मादी नगरपालिका
10205,सभापोखरी गाउँपालिका
10203,सिलीचोङ गाउँपालिका
10801,आठराई  गाउँपालिका
10806,छथर गाउँपालिका
10802,फेदाप  गाउँपालिका
10803,मेन्छयायेम गाउँपालिका
10804,म्याङलुङ नगरपालिका
10805,लालिगुँरास नगरपालिका
10605,अरुण गाउँपालिका
10609,आमचोक गाउँपालिका
10603,टेम्केमैयुङ गाउँपालिका
10606,पौवादुङमा गाउँपालिका
10604,भोजपुर नगरपालिका
10607,रामप्रसाद राई गाउँपालिका
10601,षडानन्द नगरपालिका
10602,साल्पासिलिछो गाउँपालिका
10608,हतुवागढी गाउँपालिका
10705,सहिदभूमि गाउँपालिका
10707,चौविसे गाउँपालिका
10703,छथर जोरपाटी गाउँपालिका
10704,धनकुटा नगरपालिका
10702,पाख्रिवास नगरपालिका
10701,महालक्ष्मी नगरपालिका
10706,सागुरीगढी गाउँपालिका
11208,उर्लावारी नगरपालिका
11215,कटहरी गाउँपालिका
11206,कानेपोखरी गाउँपालिका
11203,केरावारी गाउँपालिका
11212,ग्रामथान गाउँपालिका
11217,जहदा गाउँपालिका
11216,धनपालथान गाउँपालिका
11207,पथरी शनिश्चरे नगरपालिका
11213,बुढीगंगा गाउँपालिका
11205,बेलवारी नगरपालिका
11201,मिक्लाजुङ गाउँपालिका
11211,रंगेली नगरपालिका
11209,रतुवामाई नगरपालिका
11202,लेटाङ नगरपालिका
11214,विराटनगर महानगरपालिका
11210,सुनवर्षी नगरपालिका
11204,सुन्दरहरैंचा नगरपालिका
11306,ईटहरी उपमहानगरपालिका
11309,ईनरुवा नगरपालिका
11303,कोशी गाउँपालिका
11308,गढी गाउँपालिका
11307,दुहवी नगरपालिका
11311,देवानगन्ज गाउँपालिका
11301,धरान उपमहानगरपालिका
11302,बराहक्षेत्र नगरपालिका
11312,बर्जु गाउँपालिका
11304,भोक्राहा नरसिंह गाउँपालिका
11305,रामधुनी नगरपालिका
11310,हरिनगर गाउँपालिका
10301,खुम्वु पासाङल्हमु गाउँपालिका
10304,माप्य दुधकोशी गाउँपालिका
10305,थुलुङ दुधकोशी गाउँपालिका
10306,नेचासल्यान गाउँपालिका
10302,महाकुलुङ गाउँपालिका
10308,लिखु पिके गाउँपालिका
10303,सोताङ गाउँपालिका
10307,सोलु दुधकुण्ड नगरपालिका
10502,ऐसेलुखर्क गाउँपालिका
10501,केपिलासगढी गाउँपालिका
10508,खोटेहाङ गाउँपालिका
10509,जन्तेढुंगा गाउँपालिका
10507,दिप्रुङ चुइचुम्मा गाउँपालिका
10510,बराहपोखरी गाउँपालिका
10505,दिक्तेल रुपाकोट मझुवागढी नगरपालिका
10503,रावा बेसी गाउँपालिका
10506,साकेला गाउँपालिका
10504,हलेसी तुवाचुङ नगरपालिका
10404,खिजिदेम्वा गाउँपालिका
10406,चम्पादेवी  गाउँपालिका
10401,चिशंखुगढी गाउँपालिका
10408,मानेभञ्ज्याङ गाउँपालिका
10403,मोलुङ गाउँपालिका
10405,लिखु  गाउँपालिका
10402,सिद्दिचरण नगरपालिका
10407,सुनकोशी गाउँपालिका
11408,उदयपुरगढी गाउँपालिका
11407,कटारी  नगरपालिका
11402,चौदण्डीगढी नगरपालिका
11406,ताप्ली गाउँपालिका
11403,त्रियुगा नगरपालिका
11404,रौतामाई गाउँपालिका
11401,वेलका  नगरपालिका
11405,लिम्चुङ्बुङ गाउँपालिका
20103,अग्नीसाइर कृष्णासवरन गाउँपालिका
20102,कञ्चनरुप नगरपालिका
20106,खडक नगरपालिका
20118,छिन्नमस्ता गाउँपालिका
20110,डाक्नेश्वरी नगरपालिका
20115,तिरहुत गाउँपालिका
20117,तिलाठी कोईलाडी गाउँपालिका
20111,राजगढ गाउँपालिका
20109,बोदे बरसाइन नगरपालिका
20114,महादेवा गाउँपालिका
20113,राजविराज नगरपालिका
20104,रुपनी गाउँपालिका
20108,वलान-विहुल गाउँपालिका
20112,विष्णुपुर गाउँपालिका
20105,शम्भुनाथ  नगरपालिका
20101,सप्तकोशी नगरपालिका
20107,सुरुङ्गा नगरपालिका
20116,हनुमाननगर कङ्कालिनी नगरपालिका
20209,अर्नमा गाउँपालिका
20216,औरही गाउँपालिका
20206,कल्याणपुर नगरपालिका
20203,गोलबजार नगरपालिका
20202,धनगढीमाई नगरपालिका
20207,नरहा गाउँपालिका
20214,नवराजपुर गाउँपालिका
20215,बरियारपट्टी गाउँपालिका
20213,भगवानपुर गाउँपालिका
20204,मिर्चैया नगरपालिका
20211,लक्ष्मीपुर पतारी गाउँपालिका
20201,लहान नगरपालिका
20208,विष्णुपुर गाउँपालिका
20212,सखुवानान्कारकट्टी गाउँपालिका
20217,सिराहा नगरपालिका
20210,सुखीपुर नगरपालिका
20205,कर्जन्हा नगरपालिका
20314,औरही  गाउँपालिका
20311,कमला नगरपालिका
20305,क्षिरेश्वरनाथ नगरपालिका
20301,गणेशमान चारनाथ नगरपालिका
20312,जनकनन्दिनी गाउँपालिका
20315,जनकपुरधाम उपमहानगरपालिका
20302,धनुषाधाम नगरपालिका
20316,धनौजी गाउँपालिका
20317,नगराइन नगरपालिका
20304,बटेश्वर गाउँपालिका
20303,मिथिला नगरपालिका
20307,मिथिला बिहारी नगरपालिका
20318,मुखियापट्टी मुसहरमिया गाउँपालिका
20306,लक्ष्मीनिया गाउँपालिका
20313,विदेह नगरपालिका
20310,शहीदनगर नगरपालिका
20309,सबैला नगरपालिका
20308,हंसपुर नगरपालिका
20402,गौशाला नगरपालिका
20415,जलेश्वर नगरपालिका
20413,पिपरा गाउँपालिका
20412,महोत्तरी गाउँपालिका
20409,साम्सी गाउँपालिका
20403,सोनमा गाउँपालिका
20411,एकडारा गाउँपालिका
20404,औरही नगरपालिका
20401,बर्दिबास नगरपालिका
20407,बलवा नगरपालिका
20405,भँगाहा नगरपालिका
20414,मटिहानी नगरपालिका
20410,मनरा शिसवा नगरपालिका
20408,रामगोपालपुर नगरपालिका
20406,लोहरपट्टी नगरपालिका
20506,ईश्वरपुर नगरपालिका
20510,चन्द्रनगर गाउँपालिका
20504,बरहथवा नगरपालिका
20503,बागमती नगरपालिका
20520,मलंगवा नगरपालिका
20501,लालबन्दी नगरपालिका
20502,हरिवन नगरपालिका
20511,कविलासी नगरपालिका
20519,कौडेना गाउँपालिका
20517,गोडैटा  नगरपालिका
20512,चक्रघट्टा  गाउँपालिका
20514,धनकौल गाउँपालिका
20508,पर्सा गाउँपालिका
20516,बलरा नगरपालिका
20513,बसबरिया गाउँपालिका
20509,ब्रह्मपुरी  गाउँपालिका
20515,रामनगर गाउँपालिका
20518,विष्णु गाउँपालिका
20505,हरिपुर नगरपालिका
20507,हरिपुर्वा नगरपालिका
20608,गरुडा नगरपालिका
20601,चन्द्रपुर नगरपालिका
20618,ईशनाथ नगरपालिका
20604,कटहरिया नगरपालिका
20606,गढीमाई नगरपालिका
20602,गुजरा नगरपालिका
20617,गौर नगरपालिका
20615,दुर्गा भगवती गाउँपालिका
20609,देवाही गोनाही   नगरपालिका
20612,परोहा नगरपालिका
20603,फतुवा बिजयपुर नगरपालिका
20611,बौधीमाई नगरपालिका
20607,माधव नारायण नगरपालिका
